Country Name,"Year","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)","Health expenditure per capita (current US$)","Health expenditure, public (% of government expenditure)","Risk of catastrophic expenditure for surgical care (% of people at risk)","Immunization, BCG (% of one-year-old children)","Diarrhea treatment (% of children under 5 who received ORS packet)","Tuberculosis death rate (per 100,000 people)","ARI treatment (% of children under 5 taken to a health provider)"
Dominica,"2012","NA","NA","384.58372604","9.62106618","NA","98","NA","4.3","NA"
Dominica,"2013","NA","NA","400.39166605","10.58155898","NA","97","NA","2.8","NA"
Dominica,"2014","NA","NA","407.8128301","10.47270176","27.3","98","NA","2.7","NA"
Dominican Republic,"2005","NA","NA","154.22558011","7.86671331","NA","96","NA","6.5","NA"
Dominican Republic,"2006","NA","NA","165.86643201","9.02037348","NA","95","NA","3.6","NA"
Dominican Republic,"2007","NA","NA","199.64652489","10.61083899","NA","92","40.5","3.1","67.3"
Dominican Republic,"2008","NA","NA","206.94732321","9.59807051","NA","92","NA","4","NA"
Dominican Republic,"2009","NA","NA","216.25442839","11.86819745","NA","96","NA","4.9","NA"
Dominican Republic,"2010","NA","NA","217.70644418","12.18682821","NA","98","31.9","6.4","68.4"
Dominican Republic,"2011","NA","NA","244.14572173","14.64881919","NA","99","NA","5.8","NA"
Dominican Republic,"2012","16.5","70.4","253.79529697","14.35662097","NA","99","NA","5.1","NA"
Dominican Republic,"2013","NA","NA","245.17786209","15.53786666","NA","99","48","4.3","66"
Dominican Republic,"2014","NA","NA","268.9943173","17.36030647","31.9","99","47.5","3.9","73.4"
Ecuador,"2005","NA","NA","177.47724343","5.62242249","NA","99","NA","7.8","NA"
Ecuador,"2006","NA","NA","196.26289333","5.07249078","NA","99","NA","7.2","NA"
Ecuador,"2007","NA","NA","213.17830958","5.44893617","NA","99","NA","6.5","NA"
Ecuador,"2008","NA","NA","241.97444558","4.62710229","NA","98","NA","5.9","NA"
Ecuador,"2009","NA","NA","237.24738658","6.63294517","NA","99","NA","5","NA"
Ecuador,"2010","NA","NA","274.8808741","7.09136509","NA","98","NA","5","NA"
Ecuador,"2011","NA","NA","308.97154302","6.60079179","NA","98","NA","4.4","NA"
Ecuador,"2012","17.8","67","368.19868202","7.32124371","NA","94","45.8","3.8","NA"
Ecuador,"2013","NA","NA","439.56215163","8.76083351","NA","90","NA","3.3","NA"
Ecuador,"2014","NA","NA","579.19244452","10.22916129","45.4","89","NA","2.9","NA"
"Egypt, Arab Rep.","2005","NA","NA","63.80857754","6.05239126","NA","98","33.5","1.1","63.4"
"Egypt, Arab Rep.","2006","NA","NA","74.01172409","6.05707562","NA","99","NA","0.98","NA"
"Egypt, Arab Rep.","2007","NA","NA","84.30810186","5.80358024","NA","98","NA","0.97","NA"
"Egypt, Arab Rep.","2008","NA","NA","100.60325668","5.63595284","NA","98","28.4","0.96","73.3"
"Egypt, Arab Rep.","2009","NA","NA","117.04777787","5.95168047","NA","98","NA","0.83","NA"
"Egypt, Arab Rep.","2010","NA","NA","125.50239757","5.60240095","NA","98","NA","0.69","NA"
"Egypt, Arab Rep.","2011","NA","NA","139.00244005","6.25830761","NA","98","NA","0.83","NA"
"Egypt, Arab Rep.","2012","10.7","84.7","160.76476572","5.84574557","NA","95","NA","0.64","NA"
"Egypt, Arab Rep.","2013","NA","NA","159.11056812","5.54561079","NA","98","NA","0.3","NA"
"Egypt, Arab Rep.","2014","NA","NA","177.76836063","5.58768476","52.8","96","28.4","0.25","67.7"
El Salvador,"2005","NA","NA","206.66482242","15.53947878","NA","84","NA","1.9","NA"
El Salvador,"2006","NA","NA","207.54401182","15.9085738","NA","93","NA","1.2","NA"
El Salvador,"2007","NA","NA","212.08640585","15.62352804","NA","99","NA","2","NA"
El Salvador,"2008","NA","NA","221.77217284","15.01391126","NA","99","57.6","1.6","67"
El Salvador,"2009","NA","NA","234.40438252","12.37396042","NA","99","NA","1.4","NA"
El Salvador,"2010","NA","NA","245.19046574","13.50724583","NA","99","NA","1.8","NA"
El Salvador,"2011","NA","NA","260.15927254","14.70327771","NA","99","NA","1.3","NA"
El Salvador,"2012","14","63.5","262.92994456","15.45819278","NA","99","NA","1.6","NA"
El Salvador,"2013","NA","NA","276.69740767","16.77614018","NA","99","NA","1.9","NA"
El Salvador,"2014","NA","NA","279.64672825","16.69398283","31.2","96","NA","1.9","80"
Equatorial Guinea,"2005","NA","NA","214.09503537","6.49876742","NA","72","NA","5.5","NA"
Equatorial Guinea,"2006","NA","NA","266.45098551","6.49876742","NA","72","NA","5.4","NA"
Equatorial Guinea,"2007","NA","NA","344.1751553","6.49876742","NA","72","NA","5.3","NA"
Equatorial Guinea,"2008","NA","NA","519.90009418","7.05279315","NA","71","NA","5.3","NA"
Equatorial Guinea,"2009","NA","NA","702.63228926","6.95716349","NA","71","NA","5.3","NA"
Equatorial Guinea,"2010","NA","NA","609.26671932","6.95716349","NA","71","NA","5.4","NA"
Equatorial Guinea,"2011","NA","NA","688.82153294","6.95716349","NA","66","40.4","5.6","54.3"
Equatorial Guinea,"2012","58.7","31.2","852.45778619","6.95716349","NA","66","NA","5.9","NA"
Equatorial Guinea,"2013","NA","NA","729.74788482","6.95716349","NA","64","NA","6.2","NA"
Equatorial Guinea,"2014","NA","NA","663.05422937","6.95716349","74.1","56","NA","6.6","NA"
Eritrea,"2005","NA","NA","7.77815813","1.83168317","NA","99","NA","20","NA"
Eritrea,"2006","NA","NA","9.28247988","3.55612493","NA","99","NA","17","NA"
Eritrea,"2007","NA","NA","9.84547663","3.5952381","NA","99","NA","20","NA"
Eritrea,"2008","NA","NA","11.31124213","3.5952381","NA","98","NA","16","NA"
Eritrea,"2009","NA","NA","13.34631705","3.5952381","NA","95","NA","16","NA"
Eritrea,"2010","NA","NA","14.62766471","3.5952381","NA","94","43.4","16","44.8"
Eritrea,"2011","NA","NA","16.66539605","3.5952381","NA","98","NA","17","NA"
Eritrea,"2012","51.8","36.7","18.81139232","3.5952381","NA","97","NA","19","NA"
Eritrea,"2013","NA","NA","20.75363693","3.5952381","NA","97","NA","17","NA"
Eritrea,"2014","NA","NA","25.20042878","3.5952381","85.2","97","NA","14","NA"
Estonia,"2005","NA","NA","514.22143996","11.46589125","NA","99","NA","3.7","NA"
Estonia,"2006","NA","NA","624.61811702","10.93664022","NA","99","NA","4.9","NA"
Estonia,"2007","NA","NA","845.46719735","11.47685066","NA","98","NA","4.6","NA"
Estonia,"2008","NA","NA","1075.40513902","11.88166066","NA","98","NA","3.6","NA"
Estonia,"2009","NA","NA","1008.52217679","11.66063122","NA","97","NA","3.3","NA"
Estonia,"2010","NA","NA","902.6732824","12.31235082","NA","97","NA","2.8","NA"
Estonia,"2011","NA","NA","988.0989429","12.30300811","NA","99","NA","2.8","NA"
Estonia,"2012","2.3","92.4","1077.54862308","12.99489496","NA","97","NA","2.4","NA"
Estonia,"2013","NA","NA","1213.55619426","13.5387037","NA","96","NA","2.3","NA"
Estonia,"2014","NA","NA","1248.27963176","13.5387037","70.2","95","NA","2.1","NA"
Ethiopia,"2005","NA","NA","6.78994895","11.16303621","NA","64","19.9","65","18.7"
Ethiopia,"2006","NA","NA","8.65132225","11.45152831","NA","66","NA","60","NA"
Ethiopia,"2007","NA","NA","11.20782555","12.51852694","NA","69","NA","54","NA"
Ethiopia,"2008","NA","NA","13.42946544","11.85051895","NA","71","NA","50","NA"
Ethiopia,"2009","NA","NA","14.83285372","14.15898428","NA","74","NA","46","NA"
Ethiopia,"2010","NA","NA","20.98433993","19.83680575","NA","76","NA","42","NA"
Ethiopia,"2011","NA","NA","22.20933287","19.01085534","NA","80","26.3","38","27"
Ethiopia,"2012","59.5","30.5","26.41542192","18.53255031","NA","76","NA","36","NA"
Ethiopia,"2013","NA","NA","25.0417972","15.94214416","NA","71","NA","35","NA"
Ethiopia,"2014","NA","NA","26.64777614","15.74970497","85.2","75","NA","33","NA"
Faroe Islands,"2005","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2006","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2007","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2008","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2009","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2010","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2011","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2012","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2013","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Faroe Islands,"2014","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Fiji,"2005","NA","NA","131.99677859","10.75504323","NA","98","NA","3.7","NA"
Fiji,"2006","NA","NA","143.85430401","10.38562259","NA","99","NA","3.2","NA"
Fiji,"2007","NA","NA","152.5712481","10.22636458","NA","99","NA","4.5","NA"
Fiji,"2008","NA","NA","153.70515429","10.93992532","NA","99","NA","3.1","NA"
Fiji,"2009","NA","NA","143.4860915","10.08113512","NA","99","NA","2.3","NA"
Fiji,"2010","NA","NA","154.40033533","10.70323524","NA","99","NA","3","NA"
Fiji,"2011","NA","NA","170.51212304","9.22784396","NA","99","NA","3.7","NA"
Fiji,"2012","12.3","79.7","183.37510903","9.49297449","NA","99","NA","4.2","NA"
Fiji,"2013","NA","NA","186.64025801","9.66773865","NA","99","NA","4","NA"
Fiji,"2014","NA","NA","204.01121166","9.24746846","21.2","99","NA","4.7","NA"
Finland,"2005","NA","NA","3151.84064292","12.35777624","NA","98","NA","0.73","NA"
Finland,"2006","NA","NA","3316.63475768","12.76388961","NA","98","NA","0.4","NA"
Finland,"2007","NA","NA","3775.57932798","12.72822012","NA","NA","NA","0.51","NA"
Finland,"2008","NA","NA","4287.01742797","12.70790964","NA","NA","NA","0.51","NA"
Finland,"2009","NA","NA","4136.65690298","12.28902169","NA","NA","NA","0.47","NA"
Finland,"2010","NA","NA","4001.32569162","12.07930216","NA","NA","NA","0.32","NA"
Finland,"2011","NA","NA","4398.94233066","12.25088429","NA","NA","NA","0.41","NA"
Finland,"2012","1.8","91.9","4254.75866481","12.4167336","NA","NA","NA","0.35","NA"
Finland,"2013","NA","NA","4518.96928241","12.32317814","NA","NA","NA","0.22","NA"
Finland,"2014","NA","NA","4612.29045597","12.35047449","1.6","NA","NA","0.19","NA"
Fragile and conflict affected situations,"2005","NA","NA","33.9528323810636","NA","NA","75.6948274087759","NA","NA","NA"
Fragile and conflict affected situations,"2006","NA","NA","38.2221718016609","NA","NA","77.5409839452492","NA","NA","NA"
Fragile and conflict affected situations,"2007","NA","NA","47.6558326178412","NA","NA","80.3192987823416","NA","NA","NA"
Fragile and conflict affected situations,"2008","NA","NA","59.1850690986994","NA","NA","79.3241090407111","NA","NA","NA"
Fragile and conflict affected situations,"2009","NA","NA","62.5341139253682","NA","NA","81.094267968016","NA","NA","NA"
Fragile and conflict affected situations,"2010","NA","NA","64.6408242512063","NA","NA","82.9357635815336","NA","NA","NA"
Fragile and conflict affected situations,"2011","NA","NA","66.9120679898493","NA","NA","78.5073373359931","NA","NA","NA"
Fragile and conflict affected situations,"2012","53.1347381467971","34.9178284871286","81.6509870886495","NA","NA","83.0369514548909","NA","NA","NA"
Fragile and conflict affected situations,"2013","NA","NA","83.9472656114798","NA","NA","82.7126258137774","NA","NA","NA"
Fragile and conflict affected situations,"2014","NA","NA","80.0943613596491","NA","64.8093801543555","81.0307122425629","NA","NA","NA"
France,"2005","NA","NA","3721.11160896","15.6327997","NA","81","NA","0.74","NA"
France,"2006","NA","NA","3871.53094659","15.57000193","NA","83","NA","0.7","NA"
France,"2007","NA","NA","4371.96682174","15.54421349","NA","78","NA","0.62","NA"
France,"2008","NA","NA","4827.87566626","15.41661045","NA","NA","NA","0.6","NA"
France,"2009","NA","NA","4722.0138303","15.40933898","NA","NA","NA","0.62","NA"
France,"2010","NA","NA","4583.68860701","15.37649652","NA","NA","NA","0.57","NA"
France,"2011","NA","NA","4993.71731121","15.6138175","NA","NA","NA","0.61","NA"
France,"2012","6.1","87.2","4698.92062503","15.53038182","NA","NA","NA","0.6","NA"
France,"2013","NA","NA","4955.35152387","15.62424977","NA","NA","NA","0.59","NA"
France,"2014","NA","NA","4958.98922627","15.68728706","0.5","NA","NA","0.58","NA"
French Polynesia,"2005","NA","NA","NA","NA","NA","NA","NA","2.2","NA"
French Polynesia,"2006","NA","NA","NA","NA","NA","NA","NA","2.1","NA"
French Polynesia,"2007","NA","NA","NA","NA","NA","NA","NA","2.1","NA"
French Polynesia,"2008","NA","NA","NA","NA","NA","NA","NA","2","NA"
French Polynesia,"2009","NA","NA","NA","NA","NA","NA","NA","2","NA"
French Polynesia,"2010","NA","NA","NA","NA","NA","NA","NA","1.9","NA"
French Polynesia,"2011","NA","NA","NA","NA","NA","NA","NA","1.9","NA"
French Polynesia,"2012","NA","NA","NA","NA","NA","NA","NA","1.8","NA"
French Polynesia,"2013","NA","NA","NA","NA","NA","NA","NA","1.8","NA"
French Polynesia,"2014","NA","NA","NA","NA","NA","NA","NA","1.8","NA"
Gabon,"2005","NA","NA","189.15361319","5.2421127","NA","92","NA","112","NA"
Gabon,"2006","NA","NA","207.70599775","5.56674501","NA","92","NA","105","NA"
Gabon,"2007","NA","NA","246.75179269","6.53473221","NA","92","NA","96","NA"
Gabon,"2008","NA","NA","266.85732156","5.68564619","NA","93","NA","87","NA"
Gabon,"2009","NA","NA","276.34582289","6.85052085","NA","93","NA","80","NA"
Gabon,"2010","NA","NA","319.73593759","10.65750424","NA","94","NA","73","NA"
Gabon,"2011","NA","NA","352.99717087","7.77798827","NA","94","NA","66","NA"
Gabon,"2012","56","36.4","343.24197596","8.23641676","NA","97","26.1","58","54"
Gabon,"2013","NA","NA","380.25873312","10.05956155","NA","92","NA","51","NA"
Gabon,"2014","NA","NA","321.33009074","7.38011364","40.1","91","NA","55","NA"
"Gambia, The","2005","NA","NA","21.52090965","13.04760814","NA","99","NA","23","NA"
"Gambia, The","2006","NA","NA","24.31759774","14.16588453","NA","97","38.7","23","69"
"Gambia, The","2007","NA","NA","29.95689555","18.60343979","NA","97","NA","23","NA"
"Gambia, The","2008","NA","NA","36.18793869","18.55989873","NA","95","NA","22","NA"
"Gambia, The","2009","NA","NA","32.14718961","14.7044574","NA","94","NA","22","NA"
"Gambia, The","2010","NA","NA","32.33065903","14.54806029","NA","92","38.9","21","68.8"
"Gambia, The","2011","NA","NA","32.26657498","14.48222372","NA","90","NA","21","NA"
"Gambia, The","2012","59.1","31.6","30.91778552","12.38943206","NA","98","NA","20","NA"
"Gambia, The","2013","NA","NA","30.98856445","15.31002479","NA","98","59.2","20","68"
"Gambia, The","2014","NA","NA","30.72368182","15.31002479","51.9","96","NA","18","NA"
Georgia,"2005","NA","NA","123.40380517","6.15010483","NA","95","40","3.8","74"
Georgia,"2006","NA","NA","147.34678246","5.87598714","NA","95","NA","4.1","NA"
Georgia,"2007","NA","NA","189.92874952","4.25590968","NA","96","NA","3.9","NA"
Georgia,"2008","NA","NA","264.7580109","4.77994782","NA","95","NA","4.3","NA"
Georgia,"2009","NA","NA","255.27717099","6.07107715","NA","95","NA","4.7","NA"
Georgia,"2010","NA","NA","274.8616084","6.55262795","NA","96","NA","5.5","NA"
Georgia,"2011","NA","NA","323.43470195","5.34094183","NA","96","NA","6.4","NA"
Georgia,"2012","3.3","93.5","327.68790333","3.81764393","NA","95","NA","6.6","NA"
Georgia,"2013","NA","NA","286.07282837","4.22120686","NA","95","NA","7.2","NA"
Georgia,"2014","NA","NA","302.6006332","5.00484907","58.7","96","NA","6.6","NA"
Germany,"2005","NA","NA","3647.78964092","17.33049608","NA","NA","NA","0.41","NA"
Germany,"2006","NA","NA","3766.11259222","17.58202104","NA","NA","NA","0.42","NA"
Germany,"2007","NA","NA","4254.23350071","18.05930495","NA","NA","NA","0.44","NA"
Germany,"2008","NA","NA","4743.27281956","18.13454838","NA","NA","NA","0.38","NA"
Germany,"2009","NA","NA","4752.81769821","18.30717945","NA","NA","NA","0.36","NA"
Germany,"2010","NA","NA","4700.08584063","18.14760105","NA","NA","NA","0.39","NA"
Germany,"2011","NA","NA","5025.25253912","18.5811272","NA","NA","NA","0.37","NA"
Germany,"2012","4.9","91.2","4753.87592082","18.81069824","NA","NA","NA","0.39","NA"
Germany,"2013","NA","NA","5098.23693369","19.25261037","NA","NA","NA","0.4","NA"
Germany,"2014","NA","NA","5410.63463897","19.64679604","0.3","NA","NA","0.4","NA"
Ghana,"2005","NA","NA","36.03047454","15.07607425","NA","99","NA","54","NA"
Ghana,"2006","NA","NA","43.11005603","13.98460999","NA","99","28.8","53","34"
Ghana,"2007","NA","NA","58.24894864","16.15749752","NA","99","NA","51","NA"
Ghana,"2008","NA","NA","59.8645213","13.14973119","NA","99","44.5","50","60.4"
Ghana,"2009","NA","NA","56.67149658","16.44812389","NA","99","NA","44","NA"
Ghana,"2010","NA","NA","70.57961572","14.92779308","NA","99","NA","40","NA"
Ghana,"2011","NA","NA","76.29999038","14.02724033","NA","98","35","40","41.3"
Ghana,"2012","50.7","41.5","78.6432553","9.31846833","NA","98","NA","39","NA"
Ghana,"2013","NA","NA","84.52763507","10.5809681","NA","98","NA","37","NA"
Ghana,"2014","NA","NA","57.89263246","6.81968861","36.2","99","48.6","36","52.6"
Gibraltar,"2005","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2006","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2007","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2008","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2009","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2010","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2011","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2012","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2013","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gibraltar,"2014","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Greece,"2005","NA","NA","2094.78397487","12.35101016","NA","NA","NA","0.89","NA"
Greece,"2006","NA","NA","2296.04741469","12.83522565","NA","NA","NA","0.79","NA"
Greece,"2007","NA","NA","2689.06235471","12.06266891","NA","NA","NA","0.93","NA"
Greece,"2008","NA","NA","3093.57726714","11.51304611","NA","NA","NA","0.77","NA"
Greece,"2009","NA","NA","2879.07809767","12.54351914","NA","NA","NA","0.84","NA"
Greece,"2010","NA","NA","2458.728117","11.84871013","NA","NA","NA","0.7","NA"
Greece,"2011","NA","NA","2528.39162218","12.32195036","NA","NA","NA","0.67","NA"
Greece,"2012","5.6","90.7","2048.92691658","11.37497184","NA","NA","NA","1","NA"
Greece,"2013","NA","NA","2017.22275798","9.98286342","NA","NA","NA","0.98","NA"
Greece,"2014","NA","NA","1743.03753324","9.98286342","9.8","NA","NA","1","NA"
Greenland,"2005","NA","NA","NA","NA","NA","NA","NA","15","NA"
Greenland,"2006","NA","NA","NA","NA","NA","NA","NA","16","NA"
Greenland,"2007","NA","NA","NA","NA","NA","NA","NA","16","NA"
Greenland,"2008","NA","NA","NA","NA","NA","NA","NA","16","NA"
Greenland,"2009","NA","NA","NA","NA","NA","NA","NA","16","NA"
Greenland,"2010","NA","NA","NA","NA","NA","NA","NA","16","NA"
Greenland,"2011","NA","NA","NA","NA","NA","NA","NA","16","NA"
Greenland,"2012","NA","NA","NA","NA","NA","NA","NA","16","NA"
Greenland,"2013","NA","NA","NA","NA","NA","NA","NA","16","NA"
Greenland,"2014","NA","NA","NA","NA","NA","NA","NA","16","NA"
Grenada,"2005","NA","NA","371.77167738","10.76680255","NA","NA","NA","2","NA"
Grenada,"2006","NA","NA","405.41101038","9.79066472","NA","NA","NA","1","NA"
Grenada,"2007","NA","NA","430.27279904","10.30361233","NA","NA","NA","0.98","NA"
Grenada,"2008","NA","NA","457.98785276","9.49705348","NA","NA","NA","0.98","NA"
Grenada,"2009","NA","NA","461.68876356","10.97544202","NA","NA","NA","2","NA"
Grenada,"2010","NA","NA","471.94713123","10.97839396","NA","NA","NA","0.98","NA"
Grenada,"2011","NA","NA","470.46608736","10.56277802","NA","NA","NA","0.97","NA"
Grenada,"2012","NA","NA","482.12483603","11.42228229","NA","NA","NA","0.97","NA"
Grenada,"2013","NA","NA","485.41868213","9.80811604","NA","NA","NA","0.51","NA"
Grenada,"2014","NA","NA","505.8299094","9.21308531","37","NA","NA","0.44","NA"
Guam,"2005","NA","NA","NA","NA","NA","NA","NA","3.2","NA"
Guam,"2006","NA","NA","NA","NA","NA","NA","NA","3.5","NA"
Guam,"2007","NA","NA","NA","NA","NA","NA","NA","4","NA"
Guam,"2008","NA","NA","NA","NA","NA","NA","NA","4.3","NA"
Guam,"2009","NA","NA","NA","NA","NA","NA","NA","4.4","NA"
Guam,"2010","NA","NA","NA","NA","NA","NA","NA","4.4","NA"
Guam,"2011","NA","NA","NA","NA","NA","NA","NA","4.3","NA"
Guam,"2012","NA","NA","NA","NA","NA","NA","NA","4.1","NA"
Guam,"2013","NA","NA","NA","NA","NA","NA","NA","3.8","NA"
Guam,"2014","NA","NA","NA","NA","NA","NA","NA","3.3","NA"
Guatemala,"2005","NA","NA","140.13746473","14.93828001","NA","96","NA","3.1","NA"
Guatemala,"2006","NA","NA","158.48490232","15.06445348","NA","96","NA","2.9","NA"
Guatemala,"2007","NA","NA","169.50579429","15.03424651","NA","88","NA","2.5","NA"
Guatemala,"2008","NA","NA","184.4592826","16.0885179","NA","99","NA","2.8","NA"
Guatemala,"2009","NA","NA","177.64459485","16.9009719","NA","93","37.1","3.1","NA"
Guatemala,"2010","NA","NA","186.27121375","15.68842497","NA","99","NA","2.6","NA"
Guatemala,"2011","NA","NA","198.9828457","14.36330149","NA","91","NA","2.2","NA"
Guatemala,"2012","34.4","47.2","207.5154089","14.68703536","NA","94","NA","1.8","NA"
Guatemala,"2013","NA","NA","216.09411051","16.85986748","NA","88","NA","1.8","NA"
Guatemala,"2014","NA","NA","232.62522721","17.82988741","50.1","91","NA","1.6","NA"
Guinea,"2005","NA","NA","8.57058119","3.28508214","NA","80","33.1","48","42"
Guinea,"2006","NA","NA","8.94533392","3.49798008","NA","81","NA","45","NA"
Guinea,"2007","NA","NA","12.5343166","2.82764532","NA","84","NA","42","NA"
Guinea,"2008","NA","NA","13.8889073","4.49540452","NA","87","NA","40","NA"
Guinea,"2009","NA","NA","16.55630561","5.68731922","NA","91","NA","37","NA"
Guinea,"2010","NA","NA","19.55526596","6.77798484","NA","93","NA","31","NA"
Guinea,"2011","NA","NA","21.18498009","9.20472719","NA","82","NA","30","NA"
Guinea,"2012","61","30.9","26.27447832","8.03499368","NA","74","34.3","29","37.3"
Guinea,"2013","NA","NA","28.64896871","9.49268407","NA","82","NA","29","NA"
Guinea,"2014","NA","NA","30.46022073","8.99599526","77.7","72","NA","29","NA"
Guinea-Bissau,"2005","NA","NA","22.93014792","5.02029739","NA","89","NA","65","NA"
Guinea-Bissau,"2006","NA","NA","23.26233877","5.14377009","NA","90","23.4175678226373","64","57"
Guinea-Bissau,"2007","NA","NA","27.79757068","6.45398911","NA","92","NA","63","NA"
Guinea-Bissau,"2008","NA","NA","33.48277734","4.84681755","NA","93","NA","62","NA"
Guinea-Bissau,"2009","NA","NA","35.1993739","8.66292336","NA","94","NA","62","NA"
Guinea-Bissau,"2010","NA","NA","34.73659589","9.07834844","NA","94","18.7","63","52.1"
Guinea-Bissau,"2011","NA","NA","35.98244453","5.83547674","NA","94","NA","64","NA"
Guinea-Bissau,"2012","64.1","28.3","37.26439469","10.39683595","NA","94","NA","69","NA"
Guinea-Bissau,"2013","NA","NA","40.45593686","13.32170805","NA","94","NA","70","NA"
Guinea-Bissau,"2014","NA","NA","37.27708811","7.78711165","68.6","94","NA","63","34.3"
Guyana,"2005","NA","NA","64.74099235","8.0849403","NA","96","NA","17","NA"
Guyana,"2006","NA","NA","91.56575943","8.76744941","NA","96","39","17","64"
Guyana,"2007","NA","NA","150.62520101","15.59086723","NA","97","NA","15","NA"
Guyana,"2008","NA","NA","191.82999643","19.14959819","NA","96","NA","15","NA"
Guyana,"2009","NA","NA","197.50320823","17.18480809","NA","98","49.8","11","65.3"
Guyana,"2010","NA","NA","198.01837841","14.71599512","NA","98","NA","20","NA"
Guyana,"2011","NA","NA","231.69401842","15.59427421","NA","97","NA","17","NA"
Guyana,"2012","17.6","66.8","246.80711693","13.14109634","NA","98","NA","18","NA"
Guyana,"2013","NA","NA","200.22173387","8.77040591","NA","98","NA","21","NA"
Guyana,"2014","NA","NA","221.78327027","9.44736498","36.1","99","42.5","21","83.6"
Haiti,"2005","NA","NA","19.76559525","8.19331442","NA","75","NA","42","NA"
Haiti,"2006","NA","NA","29.55896296","12.60623096","NA","75","40.3","40","33.3"
Haiti,"2007","NA","NA","34.72088776","9.21972111","NA","78","NA","37","NA"
Haiti,"2008","NA","NA","39.10258573","9.45834681","NA","78","NA","36","NA"
Haiti,"2009","NA","NA","44.07477635","6.1763866","NA","80","NA","33","NA"
Haiti,"2010","NA","NA","54.29907255","5.48087477","NA","82","NA","30","NA"
Haiti,"2011","NA","NA","76.72563362","5.48087477","NA","83","NA","26","NA"
Haiti,"2012","42.5","48.1","75.12031035","3.44225018","NA","83","52.9","24","37.9"
Haiti,"2013","NA","NA","65.14928614","6.13942346","NA","83","NA","22","NA"
Haiti,"2014","NA","NA","61.45512168","6.13942346","30.8","76","NA","20","NA"
Honduras,"2005","NA","NA","110.8210247","15.52516137","NA","98","NA","2.3","NA"
Honduras,"2006","NA","NA","118.91928463","13.42208907","NA","97","55.7","2","55.9"
Honduras,"2007","NA","NA","136.79081374","13.96953084","NA","99","NA","1.8","NA"
Honduras,"2008","NA","NA","160.65316789","13.23855228","NA","99","NA","1.5","NA"
Honduras,"2009","NA","NA","174.67233226","15.76088151","NA","99","NA","1.3","NA"
Honduras,"2010","NA","NA","178.38605372","15.62753324","NA","96","NA","1.1","NA"
Honduras,"2011","NA","NA","199.09968952","15.12734389","NA","93","NA","1.6","NA"
Honduras,"2012","23.4","60.8","234.23389395","16.69053405","NA","89","59.7","1.2","63.9"
Honduras,"2013","NA","NA","214.18674244","14.58942374","NA","87","NA","1","NA"
Honduras,"2014","NA","NA","212.31515084","15.40435806","58.4","86","NA","0.95","NA"
Hungary,"2005","NA","NA","922.78401698","11.80429493","NA","99","NA","1.9","NA"
Hungary,"2006","NA","NA","922.32804533","11.04050768","NA","99","NA","1.3","NA"
Hungary,"2007","NA","NA","1037.57516488","10.18236385","NA","99","NA","1.4","NA"
Hungary,"2008","NA","NA","1145.80239946","10.16232514","NA","99","NA","1.2","NA"
Hungary,"2009","NA","NA","976.77579016","9.87601179","NA","99","NA","1.2","NA"
Hungary,"2010","NA","NA","1019.85168839","10.45022015","NA","99","NA","1.1","NA"
Hungary,"2011","NA","NA","1098.7113912","10.23280466","NA","99","NA","0.78","NA"
Hungary,"2012","1.8","93","991.26782994","10.28327255","NA","99","NA","0.92","NA"
Hungary,"2013","NA","NA","1021.07311581","10.1389949","NA","99","NA","0.77","NA"
Hungary,"2014","NA","NA","1036.62385868","10.1389949","46.5","99","NA","0.7","NA"
Iceland,"2005","NA","NA","5254.4009496","18.0889354","NA","NA","NA","0.34","NA"
Iceland,"2006","NA","NA","5094.191166","17.86540797","NA","NA","NA","0.34","NA"
Iceland,"2007","NA","NA","6057.85744594","17.61811743","NA","NA","NA","0.33","NA"
Iceland,"2008","NA","NA","4892.20022173","13.06911405","NA","NA","NA","0.32","NA"
